LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID406195,406195,0,4.515377998352051,19.487034884506045,35.35264130603768,0.0,57.03188180923462,19,0.25,1,,41.75409836065574,43.0,28.0,58.0,2547.0,7.515884817515761,28.19672131147541,26.0,10.0,54.0,1720.0,10.382388408792954,2.721311475409836,3.0,0.0,6.0,166.0,1.3432689919370036,,,0.05937277338806595,0.6227124068459411,0.3475093645045771,1.4007674966435888,-0.0717565012946989,-0.31321647537543257
ID406442,406442,0,3.531425952911377,19.581408123953217,35.54645781793128,0.0,60.033559799194336,20,0.25,1,,44.721311475409834,46.0,31.0,57.0,2728.0,6.13767368400814,25.475409836065573,23.0,15.0,56.0,1554.0,9.984331987965026,3.540983606557377,4.0,1.0,6.0,216.0,1.0735264395409385,,,0.046742011999441876,0.650741462281332,0.29442388330951186,1.1607232425435383,0.041106394632342884,0.26046863858640673
ID406684,406684,0,1.6678253412246704,19.881340981389112,34.54749916504025,0.0,63.03523778915405,21,0.25,1,,37.950819672131146,38.0,24.0,52.0,2315.0,5.625614720508911,18.868852459016395,19.0,11.0,26.0,1151.0,3.712480796071837,3.3278688524590163,3.0,1.0,5.0,203.0,0.995344353735761,,,0.06653264332252241,0.8416699003506799,0.1856360672720409,1.5915571044949288,-0.029249140730073765,-0.20147824991160088
ID406590,406590,0,0.8435245156288147,20.66939399653178,34.37702279784227,0.0,69.03859376907349,23,0.25,1,,36.39344262295082,36.0,24.0,59.0,2220.0,7.116363042370707,14.39344262295082,14.0,8.0,19.0,878.0,2.354277585761644,3.7868852459016393,4.0,0.0,5.0,231.0,1.0184097750637298,,,-0.06908924563635584,-0.7590972931454222,0.14464761241625032,1.5451707253085587,0.06511573073446773,0.4546515762862039
ID407135,407135,0,1.3736286163330078,21.357492721349537,34.039730850913145,0.0,72.0402717590332,24,0.25,1,,63.09836065573771,61.0,38.0,97.0,3849.0,11.263073763457864,15.950819672131148,16.0,10.0,22.0,973.0,2.8543897742961732,3.901639344262295,4.0,0.0,8.0,238.0,1.5351972515259713,,,0.00453686396600058,0.05060355430484489,0.19325775365297923,1.8100992406736869,0.0518412495134782,0.2505175731226445
ID406916,406916,0,0.9431008100509644,21.82568053636346,33.604696642602214,0.0,78.04362773895264,26,0.25,1,,49.295081967213115,50.0,33.0,67.0,3007.0,8.357320667724158,13.39344262295082,14.0,7.0,19.0,817.0,2.9341590988708064,3.3114754098360657,3.0,0.0,6.0,202.0,1.176732532715873,,,0.03841633425095113,0.436426318852628,0.1278025059314889,1.0345342482159419,-0.017018041058961774,-0.09744011541489643
ID406758,406758,0,0.992283284664154,22.295793459153213,32.478892071665605,0.0,81.04530572891235,27,0.25,1,,53.50819672131148,55.0,35.0,68.0,3264.0,6.584382914188371,14.131147540983607,14.0,6.0,21.0,862.0,3.288745504677356,3.819672131147541,4.0,2.0,7.0,233.0,1.103149985591435,,,0.03525680302757253,0.5535158579282536,0.13823126699803057,1.0436453352010575,0.009962195377245828,0.06830798197305837
ID406835,406835,0,0.9652896523475647,21.741937223072785,32.08929313260566,0.0,84.04698371887207,28,0.25,1,,37.377049180327866,37.0,27.0,57.0,2280.0,5.90243998819197,15.032786885245901,15.0,8.0,22.0,917.0,3.351453481276218,3.9508196721311477,4.0,0.0,6.0,241.0,1.3344940303125716,,,-0.028404778075186803,-0.3702622684930642,0.10730176154782936,0.8693149762348139,0.056477826070712514,0.3165323872772348
ID406977,406977,0,1.0633618831634521,20.956006213917593,32.26753306357744,0.0,87.04866170883179,29,0.25,1,,28.34426229508197,28.0,20.0,36.0,1729.0,4.094244927951262,16.131147540983605,17.0,8.0,22.0,984.0,3.561251698659079,4.0,4.0,1.0,6.0,244.0,1.4375905768565218,,,-0.013975250877300983,-0.1962425286675154,0.11029975092880792,0.8999676092970421,0.0974279033515199,0.4940400167899521
ID406272,406272,1,1.6221860647201538,15.470786804620033,33.5416443890885,0.0,0.0,0,0.25,1,,32.52459016393443,32.0,22.0,48.0,1984.0,5.058348074806799,17.442622950819672,18.0,11.0,26.0,1064.0,3.7350796072013184,3.639344262295082,3.0,1.0,8.0,222.0,1.7227186545810462,,,-0.06352975883177225,-0.8724013790280974,0.19384030830334342,1.5164907995507906,0.031005092751405134,0.12706062958014994
ID405928,405928,1,2.1829030513763428,16.032174235168185,33.45030391420744,0.0,3.001677989959717,1,0.25,1,,45.24590163934426,47.0,31.0,60.0,2760.0,6.992032936862064,18.78688524590164,17.0,11.0,32.0,1146.0,6.202458528944687,3.1147540983606556,3.0,1.0,5.0,190.0,1.0343816293763428,,,0.017328256744700368,0.2204446401664905,0.2380405793187266,1.1647615557908177,-0.07257952686024904,-0.4713140827974776
