LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID45224,45224,5,5.396241188049316,11.157012359345725,20.199258251669843,0.0,171.09564542770386,57,0.25,1,,69.36065573770492,68.0,50.0,90.0,4231.0,10.09955904464026,38.01639344262295,32.0,16.0,80.0,2319.0,15.450449619432533,,,0.036795393109574456,0.4874624442457801,0.29745194684231185,1.1281979877124049
ID45836,45836,5,5.030895233154297,11.179763416828173,20.256717833838508,0.0,174.09732341766357,58,0.25,1,,64.78688524590164,63.0,49.0,85.0,3952.0,7.040631491796649,35.18032786885246,34.0,19.0,62.0,2146.0,12.485335660581057,,,0.013983322642719726,0.2537961613221233,0.2930786862290968,1.2772883130204713
ID46030,46030,5,5.542185306549072,11.306340615048205,20.3639450479854,0.0,177.0990014076233,59,0.25,1,,66.04918032786885,64.0,49.0,96.0,4029.0,10.537909706559766,36.36065573770492,32.0,19.0,60.0,2218.0,13.610085460036911,,,0.008268293688654296,0.10279754402198306,0.3087563783635181,1.2605439057333396
ID32649,32649,7,1.5554258823394775,13.302158956774718,14.951372464802846,0.0,3.001677989959717,1,0.25,1,,123.08196721311475,122.0,92.0,167.0,7508.0,18.67555896706282,28.885245901639344,28.0,21.0,40.0,1762.0,3.869101362744487,,,0.007451005805730988,0.09748589479768834,0.10772681891814179,1.4520685607235442
ID33511,33511,7,2.305436372756958,13.280965569896976,15.011644756168709,0.0,6.003355979919434,2,0.25,1,,127.26229508196721,124.0,83.0,192.0,7763.0,23.892050030183864,32.09836065573771,32.0,21.0,47.0,1958.0,5.527823314930834,,,0.020995110942558688,0.21906391391470892,0.14528801031599384,1.4732408648437694
ID34058,34058,7,2.2458271980285645,13.260714517930124,14.991543975238468,0.0,9.00503396987915,3,0.25,1,,127.40983606557377,128.0,89.0,174.0,7772.0,18.796610553661285,31.688524590163933,32.0,22.0,42.0,1933.0,4.522318666372217,,,0.023462530134364497,0.31078232060588684,0.16128591811795545,1.9463822881949513
ID31804,31804,7,2.273141384124756,13.199323565773431,14.999841312125275,0.0,12.006711959838867,4,0.25,1,,128.68852459016392,124.0,95.0,173.0,7850.0,19.370545495336085,31.639344262295083,30.0,20.0,51.0,1930.0,6.0471282079051,,,0.011007216671374297,0.14466092111215806,0.14349002122498994,1.313099433802522
ID33780,33780,7,3.393392562866211,13.189674444108578,14.939120319837402,0.0,15.008389949798584,5,0.25,1,,133.65573770491804,131.0,92.0,196.0,8153.0,21.45296035974339,35.22950819672131,35.0,18.0,60.0,2149.0,8.139192102870634,,,0.028314096564613634,0.3430893935400686,0.21238852951924247,1.5165073393469037
ID35680,35680,7,2.9220378398895264,13.129540098565693,14.97722383105379,0.0,18.0100679397583,6,0.25,1,,135.31147540983608,131.0,100.0,183.0,8254.0,21.389671170611418,33.49180327868852,33.0,22.0,45.0,2043.0,6.63481461891155,,,0.0089353771273654,0.11204953378882865,0.1654439112615043,1.4331747425361998
ID33216,33216,7,4.542471885681152,13.105375744786405,15.008217795734323,0.0,21.011745929718018,7,0.25,1,,140.88524590163934,138.0,109.0,176.0,8594.0,17.310977596750313,38.0,36.0,22.0,66.0,2318.0,11.031772296417289,,,0.019379783574276215,0.30944738855972237,0.24845995893223818,1.3710399012597494
ID32942,32942,7,3.990537405014038,13.108526961645005,15.071986646288554,0.0,24.013423919677734,8,0.25,1,,130.80327868852459,131.0,92.0,173.0,7979.0,19.376807160564535,37.442622950819676,35.0,23.0,66.0,2284.0,9.74084970654329,,,0.012387527836432394,0.1651978024411836,0.2103886797054604,1.3362783514090824
ID32375,32375,7,3.3621861934661865,13.08725975933675,15.130612959272117,0.0,27.01510190963745,9,0.25,1,,129.18032786885246,132.0,98.0,153.0,7880.0,11.612505036556225,34.83606557377049,34.0,23.0,53.0,2125.0,7.979516125406879,,,0.028702695144985836,0.620773634721226,0.1828031802857703,1.3494406911847194
ID32084,32084,7,3.768994092941284,13.088190134114528,15.050303822070244,0.0,30.016779899597168,10,0.25,1,,127.62295081967213,128.0,100.0,168.0,7785.0,13.855400793464655,36.49180327868852,36.0,22.0,54.0,2226.0,9.113402128769241,,,0.008002383610470959,0.14625054451957956,0.19705941664986157,1.318336487477959
ID34342,34342,7,3.139237403869629,13.048022922960325,14.95893533769791,0.0,33.018457889556885,11,0.25,1,,131.59016393442624,124.0,103.0,190.0,8027.0,21.854348956352165,35.967213114754095,34.0,22.0,60.0,2194.0,8.058054382861814,,,-0.001382617473005026,-0.01667318119825817,0.19503348559686062,1.456919974684005
