LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID299929,299929,72,1.0718841552734375,33.33439763004561,13.58624420139771,0.0,114.06376361846924,38,0.25,1,,54.16393442622951,54.0,40.0,67.0,3304.0,6.226771040886954,14.459016393442623,13.0,9.0,23.0,882.0,3.514606523694146,3.8688524590163933,4.0,2.0,6.0,236.0,0.9032424893324705,,,0.0023053726818077426,0.04001459140230279,0.11962436844781513,0.8791021671401523,-0.0639774647887324,-0.5855291574046048
ID299303,299303,73,2.5315232276916504,29.299317501083213,20.18060056059974,0.0,96.05369567871094,32,0.25,1,,50.21311475409836,50.0,39.0,65.0,3063.0,5.839848040541126,21.62295081967213,21.0,11.0,38.0,1319.0,6.66124096152819,4.229508196721311,4.0,3.0,6.0,258.0,0.9728556354525034,,,-0.04420664815082403,-0.7953699752306891,0.269257370931806,1.3772339472919801,-0.0188524324499519,-0.16707233005701
ID299712,299712,73,1.2484380006790161,28.993721089791137,20.043973674816254,0.0,99.05537366867065,33,0.25,1,,49.98360655737705,50.0,35.0,76.0,3049.0,10.037416339674083,16.491803278688526,15.0,10.0,27.0,1006.0,4.12158121283435,3.80327868852459,4.0,0.0,6.0,232.0,1.1806731431849593,,,-0.04317382486014216,-0.4493897106381852,0.1365735762820122,0.9616198209167075,-0.008607189248904383,-0.05593376428928073
ID299356,299356,73,2.0095906257629395,28.96439016341364,20.656115048210502,0.0,102.05705165863037,34,0.25,1,,39.950819672131146,39.0,32.0,57.0,2437.0,6.149325788269249,19.983606557377048,20.0,13.0,30.0,1219.0,4.141222859972196,4.016393442622951,4.0,1.0,7.0,245.0,1.3227723825194886,,,0.0010923247845692236,0.014177701994760889,0.2237454903246966,1.7645682062591885,-0.023561780324045243,-0.1465360425314641
ID299486,299486,73,2.6477322578430176,29.608197125320338,20.783396205205783,0.0,108.0604076385498,36,0.25,1,,37.950819672131146,37.0,29.0,54.0,2315.0,5.064340133088077,21.885245901639344,22.0,10.0,33.0,1335.0,5.615746791109615,3.9508196721311477,4.0,1.0,6.0,241.0,1.543008203782433,,,-0.04915928635605187,-0.7748650810853043,0.27336480254065976,1.673260901449281,0.007493972755668001,0.03809067083481326
ID299541,299541,73,2.437556266784668,29.193207014072474,20.285573153084687,0.0,111.06208562850952,37,0.25,1,,44.131147540983605,44.0,31.0,57.0,2692.0,5.364933705201042,22.131147540983605,22.0,12.0,36.0,1350.0,6.20879862194522,4.590163934426229,5.0,3.0,8.0,280.0,1.0859258596596713,,,-0.03526985106294169,-0.6014626054638307,0.2287165962068029,1.3270042383588914,0.053374088878438725,0.4283569916752986
ID299953,299953,73,2.0067906379699707,30.06963789095073,19.64182548617697,0.0,114.06376361846924,38,0.25,1,,60.26229508196721,59.0,39.0,90.0,3676.0,14.081786865006707,19.852459016393443,21.0,12.0,27.0,1211.0,4.106239421391835,4.180327868852459,4.0,1.0,9.0,255.0,1.3479391272273327,,,0.033328062685570696,0.27605126531400304,0.2326733389047775,1.825150387455632,-0.06853181686106843,-0.4563460353490756
ID299810,299810,73,1.6478227376937866,30.204679169884514,19.765050301347472,0.0,117.06544160842896,39,0.25,1,,65.63934426229508,66.0,44.0,85.0,4004.0,10.845940541488698,18.34426229508197,18.0,10.0,26.0,1119.0,3.5538019354940587,4.360655737704918,5.0,1.0,7.0,266.0,1.5059082185981756,,,0.11951070336391438,1.2921280739725958,0.20907617504051867,1.7852042432972486,0.058239808316097576,0.3187272063432254
ID299909,299909,73,3.088918447494507,29.91180100190341,19.806859208003516,0.0,126.0704755783081,42,0.25,1,,60.622950819672134,61.0,44.0,73.0,3698.0,7.722615995516521,21.131147540983605,18.0,11.0,42.0,1289.0,8.228963907718608,4.278688524590164,4.0,2.0,6.0,261.0,0.9509845344165447,,,0.04304486380758624,0.6479193890721598,0.30355013775925027,1.1959433683358194,-0.01757987937892978,-0.16102223715127703
ID299850,299850,73,2.354490280151367,30.095917589008412,19.272467913801734,0.0,129.07215356826782,43,0.25,1,,43.65573770491803,43.0,32.0,55.0,2663.0,3.6050207854307836,19.737704918032787,18.0,10.0,36.0,1204.0,6.071522706713868,4.344262295081967,4.0,2.0,6.0,265.0,0.928892636451945,,,-0.06757053829434852,-1.7551124437637442,0.25119345305751306,1.3053076305337907,-0.00933527331428748,-0.08814158422778237
